cellID,clusterID
C01762,1
C01763,1
C01764,1
C01765,1
C01766,1
C01767,1
C01768,0
C01769,1
C01771,1
C01772,1
C01773,1
C01775,0
C01776,1
C01777,0
C01778,0
C01780,0
C01781,0
C01782,0
C01783,0
C01784,4
C01785,2
C01787,4
C01788,0
C01789,0
C01790,0
C01791,0
C01793,0
C01795,0
C01796,0
C01797,5
C01798,0
C01799,0
C01800,0
C01801,0
C01803,4
C01804,0
C01805,0
C01806,0
C01807,5
C01808,0
C01809,0
C01810,0
C01811,0
C01812,4
C01813,0
C01814,0
C01815,0
C01816,0
C01817,4
C01818,0
C01819,2
C01820,0
C01821,2
C01822,0
C01825,0
C01826,1
C01829,0
C01833,4
C01835,0
C01837,0
C01840,0
C01841,4
C01842,4
C01843,4
C01844,4
C01845,0
C01846,4
C01848,0
C01849,3
C01850,4
C01851,4
C01852,1
C01854,0
C01855,1
C01856,0
C01857,2
C01858,1
C01859,4
C01860,0
C01861,4
C01862,0
C01863,4
C01864,4
C01865,2
C01866,2
C01867,4
C01868,0
C01869,1
C01870,0
C01871,0
C01873,2
C01874,1
C01875,1
C01876,1
C01877,1
C01878,4
C01881,0
C01882,4
C01883,4
C01884,4
C01885,0
C01887,0
C01890,1
C01899,0
C01900,0
C01903,1
C01904,5
C01907,0
C01908,1
C01911,0
C01915,0
C01918,1
C01921,0
C01922,1
C01924,0
C01928,0
C01933,1
C01935,1
C01936,0
C01938,2
C01939,0
C01941,5
C01945,1
C01946,0
C01952,1
C01955,0
C01957,0
C01960,5
C01961,1
C01965,1
C01966,0
C01972,0
C01975,0
C01978,1
C01979,1
C01980,0
C01984,0
C01985,1
C01986,1
C01987,1
C01988,1
C01989,1
C01990,1
C01991,1
C01992,1
C01993,1
C01994,4
C01995,4
C01996,0
C01997,4
C01998,0
C01999,1
C02000,4
C02001,1
C02002,1
C02003,4
C02004,4
C02005,0
C02006,0
C02007,1
C02008,0
C02009,4
C02010,2
C02011,1
C02012,4
C02013,2
C02014,1
C02016,1
C02017,0
C02018,0
C02019,1
C02020,0
C02021,0
C02022,1
C02023,4
C02025,0
C02026,1
C02027,1
C02028,1
C02029,0
C02030,4
C02031,4
C02032,4
C02033,4
C02034,4
C02035,0
C02036,1
C02037,0
C02038,0
C02040,1
C02041,1
C02042,0
C02044,0
C02045,0
C02046,0
C02047,0
C02048,1
C02049,0
C02050,1
C02051,0
C02052,0
C02053,1
C02054,1
C02055,1
C02056,0
C02057,6
C02058,1
C02059,0
C02060,0
C02062,0
C02063,1
C02064,1
C02065,0
C02066,0
C02067,4
C02068,1
C02069,1
C02070,0
C02071,0
C02072,1
C02073,0
C02075,0
C02076,0
C02077,0
C02078,1
C02079,1
C02080,0
C02081,0
C02082,1
C02083,0
C02084,1
C02085,6
C02086,0
C02087,0
C02088,0
C02089,0
C02091,1
C02092,1
C02093,0
C02094,0
C02095,1
C02096,0
C02097,1
C02098,0
C02099,1
C02100,0
C02102,4
C02103,0
C02104,4
C02106,1
C02107,0
C02110,0
C02111,0
C02112,1
C02114,0
C02115,0
C02116,0
C02117,0
C02118,0
C02119,1
C02120,1
C02122,1
C02123,0
C02124,0
C02125,5
C02126,0
C02127,0
C02128,0
C02129,1
C02130,0
C02131,0
C02132,1
C02133,0
C02134,0
C02135,1
C02136,0
C02137,0
C02138,0
C02139,0
C02140,0
C02141,1
C02142,0
C02144,1
C02146,0
C02147,0
C02148,1
C02149,0
C02151,0
C02152,0
C02153,1
C02154,1
C02155,1
C02156,0
C02157,1
C02158,0
C02159,1
C02160,1
C02161,0
C02162,0
C02164,1
C02165,0
C02166,0
C02167,0
C02168,0
C02169,1
C02170,1
C02171,1
C02175,5
C02177,0
C02178,4
