"","UMAP_1","UMAP_2"
"C01762",-1.93680446846771,3.33424560727245
"C01763",-3.08385794861603,3.51222436131603
"C01764",-2.19099539025116,2.86205904187328
"C01765",-1.53831499321747,2.08723871411449
"C01766",-1.95941417916107,2.63259188832409
"C01767",-1.26214760048675,2.8918816298402
"C01768",-4.757649833992,-2.19515044985646
"C01769",-2.22237556679535,2.7321223467744
"C01771",-1.93424242241669,2.29582397641307
"C01772",-1.66937916977691,3.40955273808605
"C01773",-1.25171774132538,2.78266327084667
"C01775",-2.24182885391998,-1.30882795153492
"C01776",-1.98544805748749,3.72987739743358
"C01777",-2.44770901902008,-2.51072771845692
"C01778",-4.40794223053741,-0.202777162178692
"C01780",-0.64063566429901,-1.61185367403859
"C01781",-3.21723073227691,-2.20368011294239
"C01782",-2.54051726563263,-1.89508791266316
"C01783",-1.24995916588592,-2.43323405085438
"C01784",-0.227281029060362,-2.41968162356251
"C01785",-0.315114433601378,-1.7272659092986
"C01787",0.406049435302736,-1.63089556990498
"C01788",-3.98186486466217,-2.46530540285939
"C01789",-3.34661715729523,-2.61294205485218
"C01790",-2.0096885512619,-2.71374829111927
"C01791",-1.50183742745209,-1.46204824744099
"C01793",-4.0393938372879,-2.32908208666676
"C01795",-1.36821716530609,-2.44756014643544
"C01796",-5.06594985230255,-0.220023184999164
"C01797",-0.806267435386656,-4.28865440188282
"C01798",-1.58616369469452,-2.13573272524708
"C01799",-1.53952377541351,-1.49843855200642
"C01800",-3.16244595749664,-2.33326180277699
"C01801",-1.76510613663483,-2.12987740336293
"C01803",1.03166640298081,-3.72333653269642
"C01804",-1.2121986697464,-2.40714700518483
"C01805",-3.79222434265899,-2.60958726702565
"C01806",-1.85916703446197,-2.08808882532948
"C01807",-0.833910162284849,-4.26151950655812
"C01808",-4.01996653778839,-2.05763800440663
"C01809",-2.4297370265274,-1.97421927748555
"C01810",-5.68498652680206,-0.850511446579632
"C01811",-3.81550591690826,-2.00191684065693
"C01812",-0.337126667335509,-2.47163064776295
"C01813",-4.97461693985748,0.0157036110914386
"C01814",-1.10343831284332,-2.12314064799183
"C01815",-3.73265784485626,-2.58667452631825
"C01816",-3.44383137924957,-2.21246774493092
"C01817",5.07182223097992,-1.72054012118214
"C01818",-3.5120820353775,-0.0324015552022421
"C01819",2.70809621112061,0.504419848338429
"C01820",-4.36871236069488,-1.42272599039906
"C01821",4.43024307982636,-1.0664923935973
"C01822",-3.20439379914093,-0.0602160915576779
"C01825",-5.24632256729889,-0.0177590884112679
"C01826",-4.29366152985382,3.00875417889721
"C01829",-4.20748942597198,1.55824653805858
"C01833",-0.0815295527725204,-1.03487427531117
"C01835",-5.15358679993439,-0.0253745280487156
"C01837",-5.64447110398102,-0.247885167583164
"C01840",-4.12890856964874,1.67991118134624
"C01841",0.0423467804641739,-1.15684528647297
"C01842",2.09799984590721,-3.02784021197193
"C01843",0.786382560894014,-3.1507585793578
"C01844",1.17335099475098,-2.92533452807301
"C01845",-4.16853802902985,-2.27581389246815
"C01846",0.389409845039369,-1.57834155856007
"C01848",-3.97752946121979,-1.86361332236164
"C01849",3.62050241725159,2.07170479001171
"C01850",0.846886937782289,-3.04016144572132
"C01851",0.183206861183168,-1.27781338988179
"C01852",-2.33434432251739,3.90953890980846
"C01854",-3.58816903336334,-1.58597846327656
"C01855",-4.80719845993805,2.0614749640382
"C01856",-1.19457095368194,-3.7835768014037
"C01857",5.60169274108124,-1.46686525641316
"C01858",-4.49922650559235,2.11432664097911
"C01859",1.90484546618176,-3.31228192149037
"C01860",-3.15933888657379,-1.21514184771412
"C01861",1.27534759537888,-3.01356013117665
"C01862",-1.20634549362945,-3.90245111285084
"C01863",2.13701677815628,-3.04012568293446
"C01864",1.83063718797279,-3.29740364848011
"C01865",2.73358989255142,0.565277501956288
"C01866",2.76084018246842,0.415408000365559
"C01867",0.615614597961427,-2.33153875170582
"C01868",-1.2567920039444,-3.88273198901051
"C01869",-1.43705957634735,4.61106388272411
"C01870",-3.90556948883819,-1.83685405550831
"C01871",-3.91724150879669,-1.48660691080922
"C01873",2.60683656232071,0.543778464213673
"C01874",-4.15652459366608,2.08697406949169
"C01875",-3.86537879212189,3.0139941424287
"C01876",-2.60887044174957,3.10496871174938
"C01877",-4.40401404602814,2.71393887700206
"C01878",1.69165590153647,-3.07553155718678
"C01881",-4.12504142029571,-2.56809218226307
"C01882",1.68436103062344,-3.17066653071278
"C01883",1.64662904040528,-3.15717537699574
"C01884",1.08037859694672,-2.891221120938
"C01885",-2.26544898255157,0.0185746885991729
"C01887",-3.92790168030548,-0.849067643269237
"C01890",-1.52349084122467,2.30044905842907
"C01899",-2.94596522553253,-2.0614498406493
"C01900",-1.12797206147003,-4.56652124224537
"C01903",-1.15769189102936,2.54347650708324
"C01904",-1.34843128426361,-4.47592885790699
"C01907",-3.56886571152496,-1.15837068854206
"C01908",-0.948192293479918,2.95003716649181
"C01911",-3.70049231751251,-0.271897330864605
"C01915",-4.05829089386749,-0.850706294163402
"C01918",-1.1436168502121,2.56093351544506
"C01921",-2.27815144760895,-1.33119757471913
"C01922",-0.867957765892027,2.36678664387828
"C01924",-2.90851824982452,-2.04854829607838
"C01928",-4.54295151932526,-1.163353517636
"C01933",-1.98806398613739,4.23094265164501
"C01935",-0.982412035301207,2.90843503178722
"C01936",-3.47963422043609,0.173719868079487
"C01938",4.77230388419342,-0.612012758835491
"C01939",-3.70356314881134,-1.28964324293965
"C01941",-0.456161911323546,-4.445664480313
"C01945",-2.44638388855743,3.57656638325817
"C01946",-3.79089682801056,0.147718712703053
"C01952",-2.298909599617,2.43049471081859
"C01955",-4.80851977570343,-0.658096149548229
"C01957",-2.85849946244049,-0.628023818119701
"C01960",0.701641385719301,-4.21848542986744
"C01961",-0.951590235069273,2.92604772748119
"C01965",-2.53972428543854,3.48467700184948
"C01966",-3.26269000275421,0.0726039558804668
"C01972",-4.62335532410431,-1.640648439511
"C01975",-4.81179373963165,-0.741623058899578
"C01978",-3.9541305850296,3.58790270985729
"C01979",-3.95612376435089,3.62103454770214
"C01980",-3.81790822251129,0.199745163337056
"C01984",-4.58902066452789,-1.64518089590901
"C01985",-3.2197875331192,3.98655693234569
"C01986",-3.23495381577301,4.16670458020336
"C01987",-2.8486766169815,3.94200985135204
"C01988",-3.20913117630768,3.93901030720836
"C01989",-2.74240916474151,3.7614454478181
"C01990",-3.19812243683624,4.28498928250438
"C01991",-3.25198167069244,3.55016581715709
"C01992",-2.94463914139557,4.21926157178051
"C01993",-4.1311120341568,3.28526942433483
"C01994",1.26010936991882,-2.88689668475026
"C01995",0.917465334102632,-2.80608327685231
"C01996",-1.12559097512054,-2.45887859164112
"C01997",0.505869572326662,-2.61631472407215
"C01998",-2.22552436096954,-2.46788151560658
"C01999",-0.929343635871886,2.50623433293468
"C02000",0.514560644790651,-2.56219871340626
"C02001",-4.62510197861481,1.80093102158672
"C02002",-4.25707381470489,3.34523408116466
"C02003",0.373671238586427,-2.51528604327076
"C02004",1.27676696078491,-2.94625003634327
"C02005",-1.61074131233978,-2.4900022297942
"C02006",-1.21596091492462,-2.52623160181874
"C02007",-4.17075818283844,1.93077795209057
"C02008",-1.52703350289154,-2.04690845309132
"C02009",0.630712573692323,-2.59823592005604
"C02010",5.09760767714691,-1.78325803576344
"C02011",-4.33405726654816,3.10045115651256
"C02012",0.923262481853487,-1.83921034632557
"C02013",5.14235765235138,-1.6709446459853
"C02014",-4.8545007060318,1.81245188416607
"C02016",-2.68660443527984,2.32833950223095
"C02017",-4.65778439743805,-2.40280015765065
"C02018",-1.79746573670196,-2.60356719790333
"C02019",-0.85594361527252,2.43841950596935
"C02020",-1.21521442635345,-2.41599853335255
"C02021",-2.4587487529068,-2.78232057391041
"C02022",-4.2328810046463,2.76865594090587
"C02023",0.817116742298128,-1.8364423066222
"C02025",-1.27263992531586,-2.3007784634673
"C02026",-4.48415797455597,1.77744977177745
